id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
75065.0,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,258,2,40,2022-09-17,0.42,1,233,8,,New Brunswick
145013.0,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,150,7,8,2020-08-23,0.08,1,284,0,,New Brunswick
261800.0,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.2778511047363,-66.059211730957,Entire home/apt,115,2,59,2022-08-25,0.71,2,352,10,,New Brunswick
872640.0,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86785,-64.52187,Entire home/apt,135,7,3,2019-08-18,0.03,1,358,0,,New Brunswick
950843.0,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,145,4,222,2022-11-27,1.9,2,301,17,,New Brunswick
1199731.0,"Beautiful Victorian Mansion, Superior Suite",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,184,1,137,2022-10-07,1.21,7,332,7,,New Brunswick
1210065.0,Gagetown Boathouse a waterfront year-round retreat,6608327,Derek,Queens,Gagetown,45.78008,-66.14374,Entire home/apt,155,2,4,2022-07-03,0.19,1,75,1,,New Brunswick
1242493.0,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,120,1,59,2022-10-31,0.61,10,331,12,,New Brunswick
1264655.0,"The Maples, NB Country Farmhouse",6885464,Gary,York,Bright,45.97722,-66.84614,Entire home/apt,126,2,154,2022-10-13,1.32,1,364,11,,New Brunswick
1266591.0,"Beautiful King Suite, Victorian Mansion",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27406,-66.05772,Private room,192,1,103,2022-12-04,1.1,7,342,23,,New Brunswick
1489389.0,"Midpoint to  Moncton, Saint John or Fredericton",7964165,Sharon,Kings,Springfield,45.64933,-65.8593,Private room,40,1,73,2022-09-28,0.77,4,314,6,,New Brunswick
2148508.0,Near Fundy - Country Guest House,7964165,Sharon,Kings,Springfield,45.64943,-65.86004,Private room,40,1,167,2023-03-22,1.52,4,312,27,,New Brunswick
2535589.0,Old Launch Ways - Family Cottage,4602006,Alec,Kings,Kingston,45.44755,-66.00487,Entire home/apt,150,7,45,2022-07-29,0.42,1,90,1,,New Brunswick
2550351.0,Counting sheep guest suites #1 (adult only),12298363,Heather,Albert,Hillsborough,45.94133,-64.66544,Entire home/apt,150,2,49,2021-01-05,0.71,3,142,0,,New Brunswick
2597511.0,"Suite #3,  downtown Superhost.",13302046,Victoria,York,Fredericton,45.95745,-66.63637,Entire home/apt,110,1,369,2023-03-12,3.53,5,79,71,,New Brunswick
2664825.0,Victorian Apartment Close to Uptown,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05299,Private room,170,1,50,2020-01-26,0.51,10,149,0,,New Brunswick
2745462.0,Oceanfront Cottage - Paradise Point,14045406,Shannon,Charlotte,Saint George,45.0635,-66.82176,Entire home/apt,175,2,210,2022-11-19,1.96,1,338,18,,New Brunswick
3112270.0,Bay of Fundy Oceanfront Retreat,2714886,Karen,Saint John,Musquash,45.11858,-66.37346,Entire home/apt,408,3,0,,,1,78,0,,New Brunswick
3164623.0,"Studio#2 Downtown,  Superhost",13302046,Victoria,York,Fredericton,45.95817,-66.63426,Entire home/apt,121,1,355,2022-12-05,3.33,5,203,53,,New Brunswick
3217193.0,Favourite weekend getaway: Harris Hatch,16292752,Karen,Charlotte,Saint Andrews,45.0754,-67.05535,Entire home/apt,182,4,80,2022-10-26,0.75,2,272,19,,New Brunswick
3260745.0,"Skyline Rst. - Pool, Hot Tub & Tiki Hut, Queen Bed",16489649,Francis,York,Fredericton,45.93823,-66.64044,Private room,120,1,92,2022-10-01,0.87,2,290,15,,New Brunswick
