id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
13358.0,Designer Styled One Bedroom Downtown Vancouver,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,157,2,443,2023-02-24,2.86,1,212,10,22-311727,Vancouver
13490.0,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,96,2022-11-06,0.67,1,152,4,,Vancouver
14267.0,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.22,1,0,0,21-156500,Vancouver
14424.0,Spacious one-bedroom in sought-after Strathcona,56709,Samantha Jo,,Downtown Eastside,49.27921,-123.08835,Entire home/apt,110,30,265,2023-01-26,1.66,4,70,7,19-162091,Vancouver
16254.0,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,7,2022-07-30,0.12,1,194,2,19-162421,Vancouver
16611.0,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,365,3,2018-02-16,0.05,5,90,0,,Vancouver
17158.0,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,5,7,2021-09-29,0.05,1,19,0,18-573474,Vancouver
17765.0,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.6,1,0,0,21-156705,Vancouver
18024.0,"Centrally located, updated 3bed/1bath garden suite",69472,Raine,,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,150,30,0,,,1,17,0,,Vancouver
18270.0,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.81,1,226,0,,Vancouver
18589.0,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,109,1,466,2023-03-12,3.25,1,0,63,23-156346,Vancouver
18795.0,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,68,30,130,2023-02-12,0.9,4,287,7,18-573700,Vancouver
20085.0,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99,30,76,2022-08-28,0.48,1,212,1,Exempt,Vancouver
21912.0,PRIVATE ROOM + BATH + KING BED + dedicated entry,83871,Adam,,Renfrew-Collingwood,49.23361,-123.05283,Private room,64,30,376,2023-02-28,2.64,3,103,28,23-156649,Vancouver
21913.0,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,105,30,225,2022-12-16,1.63,3,86,4,22-156397,Vancouver
24273.0,Walker's paradise in Kitsilano,1267409,Julia,,Kitsilano,49.26216,-123.1715,Entire home/apt,140,30,16,2021-03-01,0.13,2,145,0,20-175617,Vancouver
26047.0,The Alpha Downtown by COMFYSUITES,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,169,30,40,2022-10-31,0.28,4,93,2,,Vancouver
32746.0,Designer Urban Park View Townhouse,52118,Liliana,,Downtown,49.2792,-123.105,Entire home/apt,127,30,87,2022-10-03,0.57,2,225,3,,Vancouver
33150.0,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,125,4,108,2023-02-09,0.75,1,217,30,22-156658,Vancouver
35304.0,"🌟Private Studio in the ❤ of ""The Drive""🚶‍♂️➡️ 94",151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,99,2,532,2023-03-05,3.47,1,222,70,23-156312,Vancouver
42645.0,The Charlie Downtown by COMFYSUITES,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,172,30,34,2022-08-21,0.22,4,87,2,,Vancouver
48146.0,Executive Furnished Apartment (2 months minimum),219431,Damien,,Renfrew-Collingwood,49.23653,-123.02664,Entire home/apt,110,50,1,2022-10-18,0.2,2,346,1,,Vancouver
