id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
464384.0,Family Home away from Home in Wpg,955449,Silvio,,Fort Rouge - East Fort Garry,49.867,-97.14128,Entire home/apt,36,5,95,2023-01-03,0.74,1,358,5,,Winnipeg
1526583.0,Cozy and friendly home!,8145510,Ruth,,River Heights - Fort Garry,49.85975,-97.15524,Private room,32,3,33,2023-01-07,0.62,5,197,2,,Winnipeg
1559076.0,Executive Penthouse Condo,970192,Colleen,,Charleswood - Tuxedo - Westwood,49.86701,-97.20933,Entire home/apt,90,28,24,2023-02-15,0.21,1,172,1,,Winnipeg
1664166.0,Contemporary 5 bedroom in St. Vital,8288997,Richard,,St. Vital,49.86651,-97.11247,Entire home/apt,200,2,128,2023-03-05,1.2,1,317,31,,Winnipeg
3664955.0,Heart of the City: Osborne Village,18581972,Ryan,,Fort Rouge - East Fort Garry,49.87897,-97.1437,Entire home/apt,110,5,124,2023-01-08,1.19,7,162,15,,Winnipeg
3665425.0,Luxury Flat in Osborne Village,18581972,Ryan,,Fort Rouge - East Fort Garry,49.88066,-97.14534,Entire home/apt,129,5,11,2023-01-07,0.12,7,30,6,,Winnipeg
4574645.0,Attractive interior and exterior home on creek,23470058,K,,North Kildonan,49.95439,-97.0615,Private room,60,3,48,2023-01-30,0.51,4,74,3,,Winnipeg
5395880.0,North Kildonan Cozy home on Bunn's Creek,23470058,K,,North Kildonan,49.95419,-97.06136,Entire home/apt,150,4,15,2020-08-18,0.16,4,73,0,,Winnipeg
5420833.0,Basement Suite with Beautiful Private Bathroom,71184,Hiroshi & Naomi,,Elmwood - East Kildonan,49.90859,-97.07016,Private room,40,1,126,2023-02-27,1.33,1,99,8,,Winnipeg
6013819.0,"On River, 10 min downtown & Arena, 20 min Stadium",31217093,Barry,,St. Vital,49.85685,-97.12227,Entire home/apt,220,4,5,2017-08-12,0.05,1,365,0,,Winnipeg
6170275.0,5bdr Family Home in River Heights,31823352,Christene,,River Heights - Fort Garry,49.87337,-97.18107,Entire home/apt,465,7,16,2021-08-29,0.22,1,150,0,,Winnipeg
