id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35082,Fort Worth Guest Cottage,150893,Rando And Donna,,District 7,32.74292,-97.38147,Entire home/apt,99,1,379,2020-03-08,2.46,1,42,0,
66578,Cute and Cozy Garage Apt. W/ View,164105,Jannette,,,32.75742,-97.24447,Entire home/apt,50,30,264,2022-04-30,1.8,1,325,1,
257869,House w/ Pool in Cultural District/close2downtown,1356081,Shayna,,District 7,32.74186,-97.37857,Entire home/apt,156,3,321,2023-02-20,2.36,1,131,34,
299748,Rosy's Guest House,1544441,Kimberly,,District 9,32.71696,-97.3417,Entire home/apt,102,1,308,2022-12-11,2.27,1,165,30,
352043,Walkable W 7th FW Cultural District,1783159,John,,,32.74874,-97.3709,Entire home/apt,127,6,121,2022-11-27,1.1,1,319,8,
912371,Stay in Ft.Worth Cultural District,4895584,V R,,District 7,32.73643,-97.38305,Entire home/apt,66,2,315,2023-02-26,2.57,1,10,22,
1262911,Magnolia Avenue Getaway,3716217,Andy,,District 9,32.72771,-97.34177,Entire home/apt,121,1,338,2023-03-12,2.85,3,242,40,
1885626,Private bedroom in spacious home,7892516,Tibor & Susan,,,33.02235,-97.30032,Private room,53,1,77,2023-03-12,0.69,1,178,11,
2130492,"Charming ""attic room"" by TCU campus",826752,Lee,,,32.71192,-97.36889,Private room,90,2,40,2023-01-16,0.4,2,330,10,
2130602,Charming room by TCU/Colonial Golf,826752,Lee,,District 3,32.7133,-97.36832,Private room,100,1,88,2023-03-05,0.82,2,336,11,
2228746,Furnished Monthly Stays Near Southside,8976440,Mike,,,32.74081,-97.3267,Entire home/apt,69,30,2,2021-07-25,0.06,1,348,0,
2243630,Studio Unit - Walkable Area -  Near Magnolia Ave,57594239,Karen,,,32.72627,-97.33481,Entire home/apt,80,14,69,2023-02-08,0.99,3,180,6,
2406981,Cozy 2 BD with parking included,1625895,Lynette,,District 5,32.74541,-97.17938,Entire home/apt,163,2,83,2023-03-05,0.8,1,330,25,
3434277,1920's Stone House 1,17308665,Cam,,District 7,32.7537,-97.36713,Entire home/apt,85,30,260,2022-12-10,2.46,3,362,14,
3441552,The pool house - Minutes from W7th/TCU/Stockyards,17343834,Mark,,,32.729,-97.42868,Entire home/apt,300,3,184,2022-12-11,1.74,1,320,18,
3456871,West Fort Worth Private Room,6681863,Richard,,District 3,32.72681,-97.42765,Private room,80,3,39,2022-09-03,0.37,1,318,9,
3570004,"4 Min from Downtown, Off Magnolia Queen Bed Suite",2729065,Ayesha,,District 9,32.72587,-97.33685,Private room,74,2,34,2023-02-05,0.44,4,180,1,
3798520,★❤ Private apartment Historic district ❤★,588282,Laura,,,32.729218,-97.35331,Entire home/apt,110,4,86,2023-02-19,0.94,1,258,13,
4313642,The Inn at Sunset Acres,22393179,Vida,,District 3,32.74846,-97.40373,Entire home/apt,120,30,78,2022-12-31,1.02,1,226,13,
4499396,Charming 1930's Parkside Apartment,23336420,Dan,,,32.70607,-97.333,Entire home/apt,85,2,292,2023-02-20,2.87,2,0,24,
4706781,Private room and bath where the West begins.,24325727,Vickie,,District 6,32.63942,-97.401,Private room,42,1,297,2023-01-22,3.12,1,57,36,
5218354,The Magnolia Guesthouse,22327817,Gwendyllyn,,,32.72697,-97.33569,Entire home/apt,85,1,291,2023-02-09,2.95,1,345,50,
5364471,North Fort Worth Farm Retreat,2885551,Allen & Elise,,,32.88354,-97.33809,Entire home/apt,1600,4,21,2023-01-16,0.22,1,225,1,
5548494,7 Min to DFW Airport 2 min to American Airlines HQ,28766338,Patricio,,,32.82475,-97.07258,Private room,41,1,19,2022-10-20,0.29,1,342,2,
5651481,Studio Retreat Near Downtown,19008770,Britt & Travis,,District 7,32.73689,-97.38843,Entire home/apt,86,1,540,2023-02-26,5.61,1,306,69,
5705719,Cozy 1930's Parkside Apartment,23336420,Dan,,,32.70553,-97.33277,Entire home/apt,87,2,258,2022-12-17,2.67,2,0,15,
6271640,Great Apartment,12879690,Avinash,,District 9,32.70813,-97.35692,Private room,100,1,0,,,1,365,0,
7038625,"1 Near DFW airport, Six Flags, and AT&T Stadium",36906228,Hector,,District 5,32.81934,-97.09155,Private room,50,3,204,2023-03-13,2.65,2,148,10,
7202876,LONGHORN GETAWAY private guest house,21896341,Allie,,,32.72412,-97.33547,Entire home/apt,122,1,141,2023-02-26,5.95,2,59,75,
7255032,1920's Bungalow near Downtown,22620639,Diana,,,32.76633,-97.32741,Entire home/apt,190,14,133,2023-03-04,1.58,4,355,9,
7310033,1920s Stone House 2,17308665,Cam,,,32.75343,-97.36581,Entire home/apt,75,30,157,2022-09-05,1.69,3,331,2,
7565571,Nightly Downtown Apartment Queen bed sleeps 2 max.,39666462,Michael,,,32.7527,-97.34016,Entire home/apt,68,2,11,2022-08-05,0.22,2,47,1,
7620663,Newly Renovated w/in 1.9 miles of Dickies Arena,26198981,Terry,,District 7,32.73871,-97.38953,Entire home/apt,125,2,200,2023-03-06,2.17,2,67,17,
8270945,Art House,43611695,D,,,32.74205,-97.37306,Entire home/apt,165,4,114,2023-03-13,1.26,1,320,12,
8398336,"ReFresh! ReLax! ReNew! in Cozy, Comfy, Quiet",2559475,Lizzo,,,32.7129,-97.25336,Private room,30,1,38,2023-02-28,2.52,1,257,33,
8522758,Beautiful lake front home,44875542,Heather,,District 7,32.82223,-97.44683,Entire home/apt,400,2,85,2022-11-26,1.28,1,364,10,
8811146,20+ reasons why you should stay at this hidden gem,40034212,Moe,,District 4,32.89729,-97.30232,Entire home/apt,241,1,2,2023-01-02,0.79,1,225,2,
8843543,2 bd mins away from AT&T/Rangers!,6656431,Ashley,,,32.75673,-97.17849,Entire home/apt,125,2,46,2018-09-02,0.51,1,74,0,
8878584,Cozy Getaway just 3 blocks from TCU,46462858,Rima,,District 9,32.7041,-97.35789,Entire home/apt,275,2,25,2022-11-26,0.28,1,226,5,
8920087,"Cozy Bungalow (Downtown FW, AT&T Stadium, TWU)",3608017,Kate,,District 8,32.74375,-97.28319,Entire home/apt,108,30,307,2022-10-24,3.4,1,236,14,
8969211,No Longer Renting - Not Taking Reservations,43621562,Richella,,,32.6224,-97.3981,Entire home/apt,400,1,55,2021-11-14,0.62,1,88,0,
9738380,"Beautiful, Spacious 2/2 Condo in Nice Area",50245054,(Email hidden by Airbnb),,District 3,32.69015,-97.43347,Entire home/apt,100,90,16,2022-08-09,0.18,1,250,1,
9741690,Texas Bungalow Haven,6133562,Larry,,District 9,32.71376,-97.35951,Entire home/apt,100,1,273,2023-03-04,3.51,1,36,64,
9972447,"Rosen House Inn, Rose Garden Room",51244252,K,,District 9,32.7244,-97.33888,Private room,81,1,54,2023-01-15,0.62,3,0,2,
10230351,Lovely and Conveniently Located,52573317,Abigail And Devin,,District 7,32.74949,-97.37663,Entire home/apt,299,2,129,2023-03-05,1.48,1,120,17,
10700324,Mid Century Modern Comfort,10915710,Blythe,,District 9,32.72405,-97.39328,Entire home/apt,385,2,78,2022-11-06,0.9,1,191,6,
10832245,Vintage Inspired,347030,Hao,,District 9,32.73425,-97.35476,Entire home/apt,156,2,47,2022-10-23,0.55,1,358,5,
10971164,Spacious Loft in Historic Fairmount Neighborhood,26045934,Blake,,,32.72461,-97.34235,Entire home/apt,81,2,239,2023-03-11,4.58,2,256,47,
11143480,Cozy Studio Apartment,57916829,Robert,,District 9,32.73302,-97.35459,Entire home/apt,90,1,269,2023-03-12,3.12,1,335,48,
11521757,Luxe apartment near DfW Airport,60742552,Leo,,,32.82088,-97.06935,Entire home/apt,95,1,20,2023-02-27,3.57,1,176,20,
11572240,Short term furnished in downtown 6,49028930,Brett,,,32.75344,-97.33919,Entire home/apt,60,7,37,2023-03-12,0.54,7,175,19,
11572922,Furnished monthly stay in downtown 8,49028930,Brett,,District 9,32.75344,-97.33919,Entire home/apt,70,6,56,2023-03-10,0.76,7,162,25,
11625583,Convenient Downtown Location!  Stay in Style!,39666462,Michael,,District 9,32.75231,-97.3396,Entire home/apt,59,2,89,2022-12-23,1.45,2,149,28,
11626522,Furnished Quaint Efficiency (b),49028930,Brett,,,32.74988,-97.37303,Entire home/apt,65,14,37,2023-02-27,0.45,7,319,10,
11741547,The FROG (Finished Room Over Garage) TCU area!,59970192,Bj,,,32.7059,-97.37093,Entire home/apt,121,2,144,2023-03-14,1.95,1,279,22,
11926390,Historic near TCU/Downtown -- 30+ day rental only,49456620,Chris & Cathy,,District 9,32.71582,-97.34161,Entire home/apt,50,30,110,2022-05-09,1.3,1,156,1,
12072668,Shipping Container in Cultural Dist,64692830,Allen & Elise,,,32.75473,-97.362,Entire home/apt,149,2,67,2022-11-13,0.8,2,298,15,
13111304,"WalkDickiesA,WillRogers,UNT,30dayrental",48988682,B,,,32.74263,-97.37334,Entire home/apt,70,3,199,2023-03-08,2.95,3,248,52,
13525373,Western  Oasis,74381031,Susan,,,32.78021,-97.38639,Private room,54,1,513,2023-02-28,6.32,2,32,26,
13615417,Charming house near TCU Campus.,78828670,Jose Rodrigo,,District 9,32.70287,-97.35567,Private room,750,365,0,,,1,364,0,
13665789,That 70s Tow - The Funkiest Place in the Fort,19566168,Mary Beth,,District 9,32.71734,-97.33839,Entire home/apt,44,30,164,2023-01-31,2.05,2,156,4,
13802315,*Pet Friendly * Spacious 3BR Home with King bed,81178026,Heidi,,,32.82675,-97.07273,Entire home/apt,158,30,124,2022-07-29,1.54,1,361,2,
13822777,"Traveling nurses Fort Worth Hospitals, JPS, UNT",80587770,Brandi,,District 9,32.6739,-97.36616,Private room,50,1,16,2023-02-17,0.27,4,352,5,
13971099,Cliff Top - with Large Deck Overlooking Lake Worth,83301018,Robert,,,32.81641,-97.4635,Entire home/apt,95,2,214,2022-12-11,2.74,2,82,37,
14406499,Kokopelli Cottage,35918727,Faith,,,32.73937,-97.37575,Entire home/apt,150,1,171,2023-03-11,2.15,1,169,32,
15099230,4th Street Retreat,47260164,Jerry & Anna,,District 7,32.75346,-97.37046,Entire home/apt,123,2,304,2023-02-26,3.86,3,55,29,
15115390,TCU/Medical District Guest Cottage,9921214,Tess,,District 9,32.72404,-97.3456,Entire home/apt,95,1,90,2023-02-26,1.15,1,43,2,
15126126,"Cozy, unique, romantic, full service guest house",6657623,Daniella,,District 8,32.74976,-97.25971,Entire home/apt,69,1,242,2023-02-18,3.93,1,205,41,
15422761,Villa De Adeiso 1,98843969,Gordon,,,33.0138206481934,-97.267463684082,Private room,50,2,31,2023-02-12,0.41,2,361,2,
15460927,Cowtown Cottage: Close to all FW Fun! Coupon Below,29412843,Traci,,,32.72974,-97.39013,Entire home/apt,178,30,170,2023-03-05,2.19,2,333,15,
15700427,Modern 800 sf Shipping Container Apt Near W 7th,64692830,Allen & Elise,,District 9,32.75445,-97.36123,Entire home/apt,188,2,53,2022-10-16,0.69,2,306,11,
15718531,Room w/Private Bath- Historic Area -Near Magnolia,2729065,Ayesha,,District 9,32.7243,-97.33664,Private room,65,2,36,2022-01-30,0.47,4,357,0,
15736071,Villa De Adeiso 2,98843969,Gordon,,,33.01336,-97.26829,Private room,50,1,60,2023-03-05,0.78,2,365,1,
15882617,Entire 2 bedroom 2 bath house all to yourself.,62150346,Marshall,,District 6,32.65024,-97.35601,Entire home/apt,136,2,333,2023-02-14,4.58,4,356,32,
15947488,"Cosy Home, prime location to explore Ft Worth",1459858,Flaminia,,District 7,32.7359,-97.39425,Entire home/apt,257,3,230,2023-03-05,3.11,1,78,35,
15986031,Cozy Bungalow in Historic Area,9217448,Barbara,,District 9,32.71245,-97.33272,Entire home/apt,151,2,204,2023-03-12,2.69,1,141,25,
16199912,Quaint flat in downtown Fort Worth!,49028930,Brett,,District 9,32.75344,-97.33919,Entire home/apt,65,30,27,2022-12-18,0.36,7,256,2,
16423642,"Recently Renovated, close to Dickies Arena",26198981,Terry,,District 7,32.73905,-97.3856,Entire home/apt,85,2,144,2023-03-08,1.91,2,63,21,
16427451,Tiny Living Unit - Walkable Area Near Magnolia Ave,57594239,Karen,,District 9,32.72545,-97.33923,Entire home/apt,87,8,51,2023-02-08,0.74,3,163,6,
16720820,The Guesthouse,110828608,Adam,,District 7,32.75122,-97.37323,Entire home/apt,81,30,179,2020-03-15,2.42,1,10,0,
17218073,University House,29050201,Sharon,,,32.71365,-97.360725,Entire home/apt,144,2,163,2023-03-06,2.22,1,274,24,
17508399,Cozy Fort Worth Historic Home near Magnolia Ave,2729065,Ayesha,,District 9,32.72422,-97.33637,Entire home/apt,168,3,19,2022-04-25,0.26,4,358,1,
18139987,Treehouse Studio Near Downtown,11405085,Jenn & Patrick,,,32.72364,-97.34164,Entire home/apt,104,1,669,2023-02-27,9.36,1,33,122,
18341099,"2 Near DFW airport, Six Flags, & ATT Stadium",36906228,Hector,,District 5,32.81902,-97.09155,Private room,50,3,167,2023-01-16,2.36,2,71,3,
18471517,Historic Carter Riverside Abode,31820891,Lance,,,32.7807,-97.29833,Private room,26,28,1,2022-07-03,0.12,2,288,1,
18557788,Arlington Heights Guest House Cottage,57800656,Gilbert & Sue,,,32.73508,-97.38088,Entire home/apt,89,2,313,2023-03-13,4.45,1,74,51,
18607217,Guesthouse in Ft Worth Historic District Near TCU,68940973,Patrick,,District 9,32.73315,-97.35424,Entire home/apt,120,2,56,2023-03-13,0.8,1,106,18,
18688437,Simple and clean bedroom in new home,129909900,Brittany,,District 7,32.89929,-97.35654,Private room,81,5,0,,,1,364,0,
18691296,"WalkMuseums, UNT, WillR, DickiesA, 30dayrental",48988682,B,,District 7,32.74302,-97.37364,Private room,56,28,58,2022-12-16,0.87,3,281,5,
19196966,Clean and Private Bed & Bath,108920646,Shannon,,District 7,32.9558,-97.27692,Private room,48,2,73,2023-03-03,1.05,1,77,18,
19503490,Cozy Studio Walking Distance to Stockyards (2),134593817,Liz,,District 2,32.78312,-97.35212,Entire home/apt,80,1,54,2023-03-11,6.3,2,310,54,
19674961,Private room in hostel near TCU.,136303541,Katie,,,32.7045,-97.34262,Private room,37,1,86,2023-01-08,1.25,8,104,24,
19801879,Fort Worth Central Hostel .... 1 mile from TCU,136303541,Katie,,,32.70618,-97.34397,Shared room,23,1,120,2022-10-18,1.75,8,89,20,
19821999,4th Street Suite,47260164,Jerry & Anna,,,32.75342,-97.36852,Entire home/apt,147,2,261,2023-02-27,3.83,3,62,32,
20121333,Entire Home -Top 10 centrally located in FW,83301018,Robert,,District 7,32.73898,-97.38683,Entire home/apt,115,2,259,2023-03-06,3.97,2,19,53,
20151788,Historic Home near Magnolia & TCU w/ hot tub,45835603,Janice,,,32.7199,-97.34053,Entire home/apt,226,3,38,2023-01-23,0.56,2,0,3,
20175360,The Cozy Back Yard Bungalow 🏡,91090963,Lauren,,District 7,32.73482,-97.37329,Entire home/apt,87,1,463,2023-03-12,6.96,2,48,94,
20282646,"Cozy garage apt near TCU,Colonial + Dickies Arena",20732646,Adrianne,,District 9,32.71045,-97.35267,Entire home/apt,98,2,201,2023-03-12,2.97,1,342,39,
20309974,The Fairmount Casita | Clean & Bright Guest House,393101,Sarah,,District 9,32.72173,-97.33611,Entire home/apt,70,1,401,2023-02-26,5.89,1,44,75,
20459204,**Relax in tidy & Neat Private room,5761399,Roxana,,,32.64098,-97.37184,Private room,33,2,45,2023-02-13,0.85,6,1,1,
20542175,"Hospitals, Texas motor speedway, stock yards,BNSF",59826612,Josephine,,District 4,32.86674,-97.30725,Private room,32,3,36,2022-06-03,0.53,3,227,3,
20804033,Deep In The Heart of Fort Worth,26875848,Lauren,,District 7,32.74187,-97.37195,Entire home/apt,86,2,209,2023-02-26,3.13,2,316,34,
20832333,Fort Worth Family Home: Easy Access to Attractions,124060715,Evolve,,District 2,32.83742,-97.37814,Entire home/apt,148,3,32,2022-05-30,0.51,15,2,4,
20916794,Treetop Loft in the heart of Ft Worth,27803314,Heather&Travis,,District 7,32.73497,-97.3925,Entire home/apt,77,1,510,2023-02-27,7.65,1,128,81,
21538614,TX Oasis: Relax & Celebrate w/ FW Fun!,29412843,Traci,,,32.72854,-97.39014,Entire home/apt,186,30,133,2023-02-19,2.07,2,333,18,
21613297,Queen Bed in Historic Fairmount near Magnolia St,2729065,Ayesha,,,32.72457,-97.33663,Private room,73,3,0,,,4,174,0,
21783179,Fort Worth Entertainment District,30708414,Brooke,,,32.75509,-97.1744,Private room,336,2,11,2021-03-07,0.18,1,89,0,
