id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
90676.0,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,108,1,647,2023-03-19,4.64,3,157,98,2022-2475,Columbus
543140.0,Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,32,7,124,2023-01-22,0.96,3,243,7,2019-1344,Columbus
591101.0,Bellows Studio Loft  Apartment,2889677,Gail,,Near East,39.96086,-82.97968,Private room,100,2,280,2023-03-05,2.16,1,344,27,2019-1230,Columbus
923248.0,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,37,1,306,2023-03-13,2.49,8,228,44,2019-1314,Columbus
927867.0,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,73,1,68,2022-11-27,0.59,8,215,7,2019-1314,Columbus
1183297.0,Hannah's Haus**Prime location in German Village**,235498219,Jessica,,Near South,39.95223,-82.99557,Entire home/apt,193,2,64,2023-03-26,3.59,1,133,43,,Columbus
1217678.0,Comfortable rooms in Clintonville 1,5707733,Russell And Douglas,,Clintonville,40.03828,-83.01838,Private room,85,1,216,2022-11-27,1.82,2,317,27,2019-2104,Columbus
1286887.0,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,188,3,169,2023-03-05,1.45,1,321,11,2019-1888,Columbus
1336145.0,Comfortable rooms in Clintonville 2,5707733,Russell And Douglas,,Clintonville,40.03689,-83.0183,Private room,85,1,166,2023-03-17,1.42,2,321,17,2019-2104,Columbus
1520102.0,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,41,1,47,2022-09-29,0.42,8,309,2,2019-1314,Columbus
1763836.0,Charming 1BR Clintonville Apt,7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,85,5,89,2022-11-28,0.78,3,141,5,2023-2180,Columbus
2134901.0,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,14,36,2022-09-04,0.32,3,177,1,2019-1846,Columbus
2172026.0,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.9867,-83.01121,Entire home/apt,140,30,35,2022-11-13,0.31,3,324,1,2019-1847,Columbus
2196955.0,Close to OSU and Riverside Hospital (30day min),11043646,Curt,,West Olentangy,40.02356,-83.03218,Private room,30,28,51,2022-12-21,0.6,3,172,1,,Columbus
2227278.0,German Village Getaway,11366166,Tina,,Near South,39.94098,-82.98737,Entire home/apt,250,4,3,2017-10-29,0.04,1,292,0,2019-1536,Columbus
2262958.0,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98702,-83.01136,Entire home/apt,160,60,38,2022-07-24,0.36,3,244,1,2019-1848,Columbus
2349920.0,Eclectic Short North Escape w/FREE Parking,10776491,Catherine & Bryan,,Near North/University,39.98617,-83.00371,Entire home/apt,241,2,188,2023-03-19,1.7,4,210,29,2019-2361,Columbus
3193181.0,LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.0087,-82.97472,Entire home/apt,66,4,155,2023-03-08,1.45,5,174,8,2019-2084,Columbus
3731977.0,Relaxation Near Easton - Gym & Theater Room!,18986310,Alissa,,Rocky Fork-Blacklick,40.09093,-82.88549,Private room,60,7,52,2022-11-29,0.55,1,240,6,2019-1826,Columbus
