id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 2 baths,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,160,3,215,2023-04-17,1.65,1,243,32,
1913774,Guesthouse in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,9892898,Brian,,Bozeman,45.68399,-111.03989,Entire home/apt,137,3,404,2023-05-11,3.50,1,235,45,
1950545,Home in Bozeman · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,8224408,Paul,,Bozeman,45.6843,-111.03167,Entire home/apt,208,3,35,2022-10-26,0.32,20,307,3,
2390321,Rental unit in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,7849959,Irene,,Bozeman,45.67429,-111.03419,Entire home/apt,193,3,41,2023-01-01,0.48,2,355,3,
2536175,Home in Bozeman · ★4.78 · 3 bedrooms · 3 beds · 2 baths,8287259,Kris And Alex,,Bozeman,45.66459,-111.0391,Entire home/apt,196,3,251,2023-04-22,2.32,1,278,33,
2839082,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1577112,Zack,,Bozeman,45.67517,-111.03342,Entire home/apt,493,2,63,2022-10-02,0.70,1,358,5,
2968623,Guesthouse in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,15146634,Frances,,Bozeman,45.67236,-111.04979,Entire home/apt,125,3,167,2023-04-25,1.76,1,3,19,
4008507,Guest suite in Bozeman · ★4.98 · 1 bedroom · 2 beds · 1 bath,20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,198,1,191,2023-05-11,1.98,1,275,44,
4116964,Home in Bozeman · ★4.85 · 1 bedroom · 2 beds · 1 private bath,7722453,Rachel,,Bozeman,45.65909,-111.01448,Private room,84,4,71,2022-10-20,0.68,3,67,6,
4134363,Place to stay in Bozeman · ★4.93 · 1 bedroom · 2 beds · 1 bath,21447984,Sharon,,Bozeman,45.6702,-111.04073,Entire home/apt,265,4,81,2022-10-03,0.78,1,209,9,
6662056,Home in Bozeman · ★4.83 · 4 bedrooms · 5 beds · 2.5 baths,34871220,Ehson,,Bozeman,45.66051,-111.02333,Entire home/apt,399,3,152,2023-03-20,1.61,1,269,23,
6783856,Townhouse in Bozeman · ★4.93 · 2 bedrooms · 2 beds · 2 baths,35514344,Janette,,Bozeman,45.67985,-111.08666,Entire home/apt,175,28,15,2021-03-07,0.16,1,253,0,
6800497,Guesthouse in Bozeman · ★4.92 · 1 bedroom · 3 beds · 1 bath,16264310,Kent,,Bozeman,45.67852,-111.0348,Entire home/apt,174,2,310,2023-04-23,3.46,1,320,48,
6881306,Rental unit in Bozeman · ★4.84 · 1 bedroom · 1 bed · 1 bath,36057505,Kathi,,Bozeman,45.68118,-111.03996,Entire home/apt,146,29,56,2022-11-03,0.80,1,161,5,
6970499,Rental unit in Bozeman · ★4.87 · 1 bedroom · 2 beds · 1 bath,36548325,Doug,,Bozeman,45.68094,-111.04362,Entire home/apt,90,3,334,2023-05-05,3.71,2,0,32,
7480329,Condo in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2 baths,3437116,Jill,,Bozeman,45.67166,-111.03128,Entire home/apt,187,14,9,2021-12-12,0.11,1,273,0,
7694423,Guesthouse in Bozeman · ★4.85 · 1 bedroom · 1 bed · 1 bath,40166238,Sunny,,Bozeman,45.68181,-111.0953,Entire home/apt,159,28,28,2023-02-26,0.30,2,281,10,
7809335,Home in Bozeman · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,18706726,Otto,,Bozeman,45.67271,-111.03633,Entire home/apt,699,3,59,2022-08-28,0.63,1,207,2,
7855037,Townhouse in Bozeman · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,14843944,Laura,,Bozeman,45.70654,-111.0227,Entire home/apt,299,2,148,2023-03-18,1.59,1,286,14,
8016791,Home in Bozeman · ★4.99 · 4 bedrooms · 5 beds · 2 baths,19523133,Pele,,Bozeman,45.68367,-111.03269,Entire home/apt,285,2,158,2023-05-01,1.82,2,212,23,
8131484,Rental unit in Bozeman · ★4.92 · 1 bedroom · 2 beds · 1 bath,42939495,Mary,,Bozeman,45.67562,-111.05268,Entire home/apt,165,3,180,2023-04-25,2.03,1,229,23,
8248642,Condo in Bozeman · ★4.98 · 2 bedrooms · 5 beds · 2 baths,23268299,Jenny,,Bozeman,45.67866,-111.0223,Entire home/apt,311,3,45,2023-04-02,0.61,1,221,12,
8471627,Rental unit in Bozeman · ★4.93 · 2 bedrooms · 3 beds · 1 bath,44596719,Jade,,Bozeman,45.68157,-111.03424,Entire home/apt,167,1,607,2023-05-10,8.03,2,257,101,
8522409,Guesthouse in Bozeman · ★4.98 · 2 bedrooms · 2 beds · 1 bath,44874042,Amy,,Bozeman,45.67903,-111.10261,Entire home/apt,163,3,232,2023-05-09,2.72,1,280,34,
8616625,Home in Bozeman · ★4.91 · 3 bedrooms · 4 beds · 2 baths,32568100,Andrew,,Bozeman,45.67499,-111.04641,Entire home/apt,216,2,172,2023-04-16,1.88,1,83,26,
9131418,Home in Bozeman · ★5.0 · 3 bedrooms · 3 beds · 2 baths,7722453,Rachel,,Bozeman,45.66121,-111.01632,Entire home/apt,395,10,3,2021-06-25,0.05,3,105,0,
9588650,Rental unit in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,49630888,Amy,,Bozeman,45.682587,-111.041031,Entire home/apt,175,1,441,2023-02-28,4.87,1,165,29,
9615182,Hostel in Bozeman · ★4.68 · 1 bedroom · 6 beds · 2 shared baths,49746531,Nina,,Bozeman,45.6801,-111.03611,Hotel room,31,1,290,2023-05-07,3.20,5,320,61,
9615473,Hostel in Bozeman · ★4.60 · 1 bedroom · 1 bed · 2 shared baths,49746531,Nina,,Bozeman,45.67899,-111.03531,Hotel room,51,1,199,2023-04-20,2.24,5,254,44,
9739788,Hostel in Bozeman · ★4.51 · 1 bedroom · 4 beds · 2 shared baths,49746531,Nina,,Bozeman,45.67957,-111.03632,Hotel room,40,1,160,2023-03-27,1.94,5,326,44,
9740033,Hostel in Bozeman · ★4.61 · 1 bedroom · 3 beds · 2 shared baths,49746531,Nina,,Bozeman,45.67906,-111.03545,Shared room,30,1,75,2023-04-27,0.87,5,336,8,
9882706,Home in Bozeman · ★4.83 · 3 bedrooms · 3 beds · 2 baths,50844446,Jaymie,,Bozeman,45.71358,-111.08007,Entire home/apt,215,28,6,2022-09-26,0.57,2,227,6,
10194083,Home in Bozeman · ★4.99 · 2 bedrooms · 2 beds · 1 bath,52362737,Terra,,Bozeman,45.67552,-111.03353,Entire home/apt,249,3,114,2023-02-27,1.32,1,98,16,
10282173,Home in Bozeman · 2 bedrooms · 2 beds · 1 bath,8979185,Laura,,Bozeman,45.67211,-111.04605,Entire home/apt,174,30,1,2023-01-30,0.29,1,151,1,
10616342,Hostel in Bozeman · ★4.64 · 1 bedroom · 1 bed · 2 shared baths,49746531,Nina,,Bozeman,45.67908,-111.03689,Hotel room,73,1,122,2023-04-27,1.44,5,256,52,
11337733,Guest suite in Bozeman · ★4.91 · 1 bedroom · 1 bed · 1 bath,59339691,Allison,,Bozeman,45.68087,-111.04582,Entire home/apt,126,2,399,2023-03-19,4.60,1,257,52,
11379100,Home in Bozeman · ★4.81 · Studio · 1 bed · 1 bath,8224408,Paul,,Bozeman,45.6822,-111.0293,Entire home/apt,132,4,120,2023-04-04,1.37,20,294,19,
11394263,Home in Bozeman · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,59781492,Andrew,,Bozeman,45.6923,-111.08861,Entire home/apt,133,30,7,2023-03-10,0.09,1,280,2,
12155819,Condo in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2 baths,21848555,Barry,,Bozeman,45.68625,-111.06349,Entire home/apt,180,30,10,2022-08-23,0.12,1,317,5,
12675495,Townhouse in Bozeman · ★4.93 · 3 bedrooms · 5 beds · 1 bath,68872256,Meagan And Michael,,Bozeman,45.66973,-111.0346,Entire home/apt,150,2,413,2023-05-11,4.93,2,258,28,
13747912,Home in Bozeman · ★4.85 · 1 bedroom · 2 beds · 1 bath,80521705,Anna,,Bozeman,45.67934,-111.02765,Entire home/apt,157,1,319,2023-05-10,3.84,1,312,60,
13797463,Rental unit in Bozeman · ★4.81 · 2 bedrooms · 2 beds · 1 bath,81112095,Serena,,Bozeman,45.67961,-111.05036,Entire home/apt,110,3,196,2023-04-09,2.35,1,152,21,
13837307,Rental unit in Bozeman · ★4.91 · 1 bedroom · 1 bed · 1 bath,528052,Vicki,,Bozeman,45.66955,-111.04226,Entire home/apt,75,30,117,2022-05-13,1.40,1,90,1,
14041374,Home in Bozeman · ★5.0 · 5 bedrooms · 6 beds · 3.5 baths,20987607,Jacki,,Bozeman,45.65509,-111.0409,Entire home/apt,360,3,7,2021-06-10,0.09,1,14,0,
