id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3083,Room #2 @ B-Love's Guest House - West Oakland,3518,Traci,,Prescott,37.81013,-122.29266,Private room,55,3,57,2022-12-05,0.54,7,172,8,
5739,Mod Studio,9276,Leah And Gyorgy,,Oakland Ave-Harrison St,37.81352,-122.26055,Entire home/apt,125,4,306,2023-02-04,1.83,1,82,23,
23637,Welcome to my Charming Home,93339,Mika,,Montclair,37.82994,-122.20976,Private room,66,7,52,2022-08-27,0.33,1,329,2,
24916,Studio w/garden and Patio close to Rockridge,98716,Judy,,Piedmont Avenue,37.83169,-122.25175,Entire home/apt,96,28,134,2023-03-13,0.86,3,335,9,
25473,Luxury Flat w/Mediterranean Garden—Upper Rockridge,106078,Lori,,Upper Rockridge,37.83802,-122.23209,Entire home/apt,141,7,18,2018-08-23,0.12,1,2,0,
29521,Sunny Rockridge Home,124220,Kymi,,Shafter,37.83618,-122.25581,Entire home/apt,200,5,36,2022-11-23,0.25,2,0,1,
30026,Temescal sunny townhome w/views every room,98716,Judy,,Temescal,37.8345,-122.26264,Entire home/apt,204,28,3,2022-09-11,0.02,3,318,1,
31573,Craftsman Brown Shingle,98716,Judy,,Piedmont Avenue,37.83234,-122.25101,Entire home/apt,204,28,172,2023-01-24,1.14,3,298,25,
36702,North Oakland craftsman bungalow,119361,Vito,,Bushrod,37.84219,-122.26779,Entire home/apt,125,7,35,2023-03-03,0.23,1,181,5,
43343,Chef's Garden Flat - Easy Access to SF,147060,Jonathan,,Bushrod,37.84298,-122.26222,Entire home/apt,245,14,23,2019-06-24,0.22,2,0,0,
46908,Spring Special- Beautiful Tropical Modern Bungalow,210654,Mercedes,,Upper Dimond,37.80236,-122.20832,Entire home/apt,185,60,17,2023-03-13,0.32,2,288,4,
56645,Huge BnB Style Bedroom w/Frig/Microwave,268781,Pam,,Millsmont,37.7769,-122.18037,Private room,41,7,38,2023-03-10,0.53,4,264,3,
85974,Modern Sunny Rockridge Cottage,471600,Ericka,,Shafter,37.84211,-122.25203,Entire home/apt,188,3,229,2020-02-11,1.59,1,356,0,
136250,"Miniature House, Studio Style, SAFE Neighborhood",667229,Mark,,Merriwood,37.83699,-122.21452,Entire home/apt,99,10,12,2023-02-12,0.16,1,77,1,
151422,Walkable Best Area ~ Green Sanctuary w/ porch,729004,Amy,,Adams Point,37.81089,-122.25396,Entire home/apt,160,1,10,2022-07-09,0.1,1,255,2,
169599,Charming Garden Oasis 1bd apt.,808353,Marlene,,Millsmont,37.77847,-122.17615,Entire home/apt,115,2,193,2019-12-24,1.37,1,279,0,
208186,"Private room with bath, and cat!",1024552,LaurieAnn,,Cleveland Heights,37.80732,-122.24293,Private room,69,3,303,2023-01-30,2.18,2,329,15,
242472,Spacious Suite in Rockridge Home,1272555,Amy,,Rockridge,37.84453,-122.25127,Private room,139,2,209,2022-10-03,1.5,2,163,3,
266996,Modern condo in Art District (31 day minimum),1399511,Janet & Fred,,Northgate,37.81307,-122.2678,Entire home/apt,79,31,125,2022-09-18,0.91,1,338,2,
341704,Temescal - 2 Bedroom Craftsman - Great Location,1700817,Jennifer,,Temescal,37.83461,-122.25536,Entire home/apt,138,4,28,2017-12-31,0.21,1,0,0,
348534,In-Law Apt in the Oakland Hills,1766074,Michael,,Forestland,37.8449,-122.20309,Entire home/apt,106,2,116,2022-12-27,0.9,1,201,7,
352676,Shelter n place n private Temescal cottage,1785828,Rebecca,,Bushrod,37.84194,-122.26528,Entire home/apt,77,2,200,2023-03-13,1.53,1,271,24,
387039,Quiet Sunny Studio w/Low EMFs. Top Floor. $1797/mo,1936623,Trevor,,Bushrod,37.84225,-122.26756,Private room,69,60,20,2022-09-30,0.15,3,298,2,
387040,"Big quiet sunny garden apt $2,599/month",1936623,Trevor,,Bushrod,37.84214,-122.26748,Entire home/apt,99,61,8,2015-08-31,0.07,3,358,0,
489957,Temescal is happening!,38166,Natalie,,Shafter,37.83706,-122.25786,Private room,85,3,4,2022-09-28,0.03,1,0,2,
503632,"Entire Rockridge 2 BR upper flat near TJs, BART",1481714,Susie,,Shafter,37.83885,-122.25628,Entire home/apt,189,3,195,2023-02-20,1.49,1,59,12,
504137,Sunny bedroom w/ Tuscan patio view,2486127,Serena,,Sausal Creek,37.79756,-122.22064,Private room,75,7,14,2022-12-01,0.11,1,365,1,
510260,Extra gluten and free bed bugs!,176669,Barbara,,Longfellow,37.83388,-122.27236,Private room,54,1,408,2023-01-24,3.12,1,41,16,
515183,Modern Redwood Oasis in Rockridge,266136,Stephen,,Shafter,37.842,-122.25807,Entire home/apt,80,3,38,2022-12-31,0.3,1,277,2,
518786,Sunny craftsman home in Rockridge,1272555,Amy,,Shafter,37.84171,-122.25377,Entire home/apt,495,3,13,2023-02-23,0.24,2,246,4,
520075,Beautiful Rockridge Craftsman,2559751,Sylvie,,Fairview Park,37.84661,-122.25534,Entire home/apt,350,4,5,2017-08-16,0.04,1,93,0,
541975,Charming Cozy Canyon Condo,1905683,Patricia,,Merriwood,37.85391,-122.21926,Entire home/apt,2400,365,28,2016-02-23,0.22,1,359,0,
564610,Luxurious Retreat-Berkeley Hills,2776801,Fred,,Claremont,37.85624,-122.22492,Private room,137,21,28,2021-11-25,0.3,1,83,0,
566065,Live in a Grove of Redwood Trees,2783571,Stella,,Shepherd Canyon,37.8348,-122.18895,Entire home/apt,62,21,33,2023-03-01,0.28,1,252,3,
583395,Montclair Private Garden Studio,2318042,Karen,,Montclair,37.832,-122.20522,Entire home/apt,89,2,328,2023-03-15,2.53,1,344,51,
620731,Grand Piedmont Avenue Gem in Oakland,3075754,Mike,,Piedmont Avenue,37.82152,-122.25335,Entire home/apt,699,4,17,2023-02-19,0.27,1,173,5,
634476,"Piedmt ave, wooded, private patio",98818,Josh,,Oakland Ave-Harrison St,37.81854,-122.25915,Entire home/apt,90,6,22,2022-11-28,0.21,1,8,6,
637542,Beautiful 1+BD In Laurel/Fruitvale,528378,Bashir & Heather,,Allendale,37.78851,-122.20825,Entire home/apt,315,3,4,2012-12-29,0.03,2,365,0,
651451,Sweet Oakland Bungalow,1340535,Patricia,,Upper Peralta Creek-Bartlett,37.79308,-122.20793,Entire home/apt,150,30,19,2022-04-15,0.15,1,78,2,
665674,Urban Retreat-Oakland 1 block away,1910565,Jane And Ed,,Piedmont Avenue,37.82364,-122.25019,Entire home/apt,166,30,156,2023-01-07,1.22,1,281,4,
669183,Lg Master Bdrm Ste in beautiful Piedmont,348493,Linda,,Piedmont Avenue,37.82364,-122.24942,Private room,100,30,75,2022-09-10,0.59,1,178,1,
674934,Luxurious Bedroom Suite,661426,Kemar,,Prescott,37.81406,-122.29781,Private room,135,1,1,2016-08-21,0.01,1,0,0,
702642,Lovely 2 Plus BR Home w/Garden,3606912,Anki And Jonathan,,Piedmont Avenue,37.82987,-122.25396,Entire home/apt,204,3,105,2022-12-30,0.84,1,20,11,
715585,Boutique Garden Apartment-Temescal,3793516,Audrey,,Mosswood,37.8271,-122.26424,Entire home/apt,145,2,437,2023-03-16,3.43,6,270,48,
717000,Foreign & Domestic travelers aloha!,3696289,Hicham,,Frick,37.77338,-122.18887,Private room,120,1,48,2022-08-22,0.41,3,89,11,
719118,A Beautiful colonial home,3709999,Fatimata,,Reservoir Hill-Meadow Brook,37.78929,-122.22759,Private room,108,3,1,2019-08-23,0.02,3,0,0,
732547,Artful Well-Equipped Home - Convenient Location,2766891,Suzy,,Longfellow,37.83018,-122.27303,Entire home/apt,87,1,61,2023-01-11,0.48,1,136,10,
740018,"Sunny Room, Full Bath, Own Entrance",1357483,Andrea,,Lakeshore,37.81662,-122.23995,Entire home/apt,75,3,130,2023-03-09,1.03,1,255,24,
752039,Super Clean and Modern Loft,2307505,"Isabelle, Jason & JoeHenri",,Clawson,37.82983,-122.289,Entire home/apt,95,180,6,2013-11-02,0.05,1,0,0,
752568,Lakeshore (Near Piedmont) Studio Walk Score 98,3958182,Steven,,Trestle Glen,37.81185,-122.2412,Entire home/apt,90,3,245,2023-03-01,2.08,1,334,24,
796451,West Oakland Modern Living - FURNISHED,4195515,Jasön,,Prescott,37.81387,-122.29911,Private room,75,20,2,2021-11-16,0.12,1,0,0,
799533,Comfortable Guest Room: Make yourself at home!,56678,John,,Santa Fe,37.84358,-122.27254,Private room,60,1,540,2023-03-19,5.85,1,235,70,
806104,Oakland CA (Rockridge) Studio,401608,Jeremy & Rachel,,Rockridge,37.85141,-122.24972,Entire home/apt,158,3,153,2023-03-18,1.23,1,289,32,
828695,Upper Rockridge @ Buena Vista st.  College Ave.,204441,Gary,,Upper Rockridge,37.84947,-122.23459,Entire home/apt,93,30,64,2022-12-31,0.55,1,329,2,
830158,Home with spectacular views of SF and the Bay!,4349076,Hannah,,Maxwell Park,37.7816,-122.19691,Entire home/apt,100,31,15,2022-12-30,0.18,3,83,5,
832407,Apartment of Merritt,4729074,Claudia,,Lakeshore,37.8179,-122.24161,Entire home/apt,110,7,112,2023-03-16,0.94,1,273,10,
832622,Lovely Home near SF and Berkeley with Stunning Vi,4344400,Kimberly,,Millsmont,37.77718,-122.17872,Entire home/apt,155,3,89,2022-12-28,0.75,2,356,6,
