id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.22370270195072E+017,Nice room in a convenient location of San Jose,498132987,Vi T,,San Jose,37.29019,-121.8363,Private room,30,15,0,,,5,245,0,
45513040,Dreamstay,131968981,Sunny,,Palo Alto,37.45172,-122.1544,Entire home/apt,129,30,0,,,3,0,0,
5.48232578336354E+017,Cheerful 6500 sq ft - 3br 2bath residential home,3192425,Pratik,,Milpitas,37.43257,-121.91221,Entire home/apt,119,2,51,2023-03-22,3.75,1,146,43,
2155740,Long-term Stay: Clean + Vaccinated + Food Provided,10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,30,14,36,2023-02-25,0.33,14,295,5,
8.13031730732858E+017,2 Comfortable Units w/ Harbor Bar! Near to Museums,496944100,RoomPicks,,San Jose,37.3216325389915,-121.948624212113,Entire home/apt,949,1,0,,,45,0,0,
5.70178210000055E+017,2000+ movies available|2 parking Spots|FAST Wi-FI,146554583,Walter & Celina,,Santa Clara,37.36892,-121.99479,Entire home/apt,200,3,6,2023-03-17,0.48,12,338,5,
7.1966130701393E+017,(NEW) Delightful 3-bedroom Home in Silicon Valley,446521597,Neil,,Santa Clara,37.36459,-121.98917,Entire home/apt,243,1,10,2023-03-05,2.52,1,354,10,
28258517,Casa San Martin-Executive Estate! NO Cleaning FEE!,213436597,Edwin And Melissa,,Unincorporated Areas,37.10742,-121.58527,Entire home/apt,793,3,42,2022-11-14,1.08,1,350,14,
7.65338461332872E+017,EV Charge! Spacious 4BD/3BA Family Cozy Home!,487739150,Tiger,,San Jose,37.30575,-121.76069,Entire home/apt,340,5,3,2022-12-26,0.77,2,50,3,
35228111,Yurt in the woods!,75084265,Lupin,,Los Gatos,37.23652,-121.96206,Private room,125,2,1,2022-03-25,0.08,4,178,0,
48044096,"Separate Entrance, Modern New Suite with Bathroom",32593441,Tina,,Saratoga,37.27668,-122.03402,Private room,79,5,2,2022-12-27,0.31,1,233,2,
6.65348069850393E+017,#S32-Nice private room with a closet,22538846,Eve,,Sunnyvale,37.39849,-122.00673,Private room,44,2,2,2022-10-06,0.25,63,89,2,2022-7423
8.44953464755437E+017,Tulee's House,309529603,Jesse,,Unincorporated Areas,37.358831047975,-121.8179494221,Private room,50,1,0,,,1,365,0,
16706507,Hilltop Cottage,35043213,Afkham,,Unincorporated Areas,37.37953,-121.8117,Entire home/apt,99,31,168,2023-02-23,2.22,1,102,14,
37593398,"Charming 2BR House in Campbell, Near Downtown",48005494,Zeus,,Campbell,37.27279,-121.94373,Entire home/apt,160,30,2,2021-08-18,0.05,290,259,0,
47959230,Centrally located remodeled downtown Palo Alto Apt,53097567,Tiffany,,Palo Alto,37.44732,-122.15773,Entire home/apt,175,3,4,2023-03-03,0.49,3,55,4,
50878970,Beautiful penthouse 1B apt in Downtown Palo Alto,222756543,Diana,,Palo Alto,37.45153,-122.16192,Entire home/apt,150,4,5,2022-09-22,0.24,1,0,3,
33723052,"Large suite, shared bath, separate entrance, A/C",821982,Grace,,Palo Alto,37.40399,-122.12465,Private room,64,2,28,2022-11-15,0.6,7,258,9,
29703372,private room in Sunnyvale（v-4）,29064747,Tony,,Sunnyvale,37.40173,-121.99564,Private room,68,50,0,,,4,365,0,
7.32951757924394E+017,Modern Private Guest Suite with XL Soaking Tub,482709312,David,,Santa Clara,37.34591,-121.97325,Entire home/apt,103,2,20,2023-03-17,4.92,1,26,20,
7.36079586669422E+017,"Mountain View studio w/ pool & gym, nr tech HQs",107434423,Blueground,,Mountain View,37.3858787,-122.0544979,Entire home/apt,211,31,0,,,497,326,0,
6.53270088840991E+017,"Sunnyvale Studio w/ W/D, A/C & Roof, nr Caltrain",107434423,Blueground,,Sunnyvale,37.37417,-122.03687,Entire home/apt,205,31,0,,,497,331,0,
45646730,"Sunnyvale 1BR w/ Gym, Pool, Courts, nr Tech HQs",107434423,Blueground,,Sunnyvale,37.3659314,-122.025277,Entire home/apt,167,31,0,,,497,229,0,
6.91934815549482E+017,Lovely Studio Apartment with patio and pool&hottub,381921064,Jordan,,Sunnyvale,37.36341,-122.02499,Entire home/apt,170,30,0,,,1,364,0,
5020651,Modern Bedroom in Silicon Valley,7552301,Elmer,,Mountain View,37.40086,-122.09865,Private room,100,31,36,2022-08-14,0.37,2,365,1,
23252653,New 2BR/2Bath in Mountain view | swimming pool,9419684,Churchill,,Mountain View,37.392303,-122.09397,Entire home/apt,266,1,1,2023-02-10,0.65,21,365,1,
8.23707243179376E+017,"Sunnyvale 1br w/ gym, pool & w/d, nr highways",107434423,Blueground,,San Jose,37.3204226,-121.948461,Entire home/apt,180,31,0,,,497,365,0,
6.34493877143998E+017,"Mountain View 1BR w/ BBQ, Gym & W/D nr FB & Google",107434423,Blueground,,Mountain View,37.3985278,-122.0872183,Entire home/apt,197,31,0,,,497,337,0,
21694320,Large private studio Stanford/downtown Palo Alto,80354249,Diana,,Palo Alto,37.44606,-122.16582,Entire home/apt,270,2,100,2022-11-17,1.58,1,0,12,
10752061,Super Bowl 50 Townhouse Available!,50154430,Ali,,San Jose,37.29616,-121.92617,Entire home/apt,800,1,0,,,1,0,0,
26646890,Entire Modern Luxury Loft/ Dwtn SJ,68064297,Shannon,,San Jose,37.34134,-121.89206,Entire home/apt,300,2,21,2019-05-01,0.38,3,204,0,
241788,Santana Row MOD Condo1 LOFTstyle on the QUIET side,1269205,Ginger & Ray,,San Jose,37.3205,-121.94844,Entire home/apt,186,21,143,2023-03-20,1.03,2,365,8,
30424436,Delightful 1BR Apartment in Santa Clara,48005494,Zeus,,Santa Clara,37.34124,-121.98214,Entire home/apt,108,31,3,2023-02-25,0.1,290,261,1,
35942040,"Silicon Valley / Mountain View, Double Queen Room",268648006,Hotel Strata,,Mountain View,37.37956,-122.08736,Private room,240,1,7,2022-06-13,0.24,3,106,4,
2197461,Sunny Modern Home in Palo Alto,8748547,Maria,,Palo Alto,37.42579,-122.12684,Private room,114,1,128,2023-01-08,1.15,1,47,13,
6.90543038893732E+017,Private room in newly remodeled house￼,290375003,Sabrina,,San Jose,37.24349,-121.81586,Private room,55,30,0,,,1,364,0,
43499303,Cozy and Modern Entire House,205408771,Khue,,San Jose,37.39339,-121.88074,Entire home/apt,177,2,58,2023-03-11,1.86,1,301,24,
2515500,Your Home in Silicon Valley,5124118,Nelly,,Los Altos,37.36022,-122.07949,Entire home/apt,439,30,35,2021-09-05,0.33,7,115,0,
6.89404809724481E+017,Beautiful private bed room5 with private entrance,301565580,M.Shaker,,San Jose,37.29793,-121.8094,Private room,350,1,2,2022-08-19,0.26,6,365,2,
